2304172115,21.0,M
2304172130,20.1,M
2304172145,41.2,UfSG
2304172200,16.6,M
2304172215,11.1,G
2304172230,17.8,M
2304172245,25.1,M
2304172300,11.6,G
2304172315,12.5,G
2304172330,8.6,G
2304172345,25.1,M
2304180000,17.7,M
2304180015,20.5,M
2304180030,8.3,G
2304180045,9.7,G
2304180100,4.9,G
2304180115,15.7,M
2304180130,23.0,M
2304180145,25.3,M
2304180200,29.4,M
2304180215,4.0,G
2304180230,15.4,M
2304180245,6.5,G
2304180300,15.7,M
2304180315,19.1,M
2304180330,21.4,M
2304180345,17.8,M
2304180400,18.2,M
2304180415,16.2,M
2304180430,15.9,M
2304180445,15.5,M
2304180500,22.1,M
2304180515,21.2,M
2304180530,21.7,M
2304180545,18.9,M
2304180600,5.4,G
2304180615,20.9,M
2304180630,12.7,G
2304180645,31.0,M
2304180700,17.0,M
2304180715,21.0,M
2304180730,21.7,M
2304180745,22.1,M
2304180800,17.1,M
2304180815,17.7,M
2304180830,18.0,M
2304180845,15.2,M
2304180900,23.3,M
2304180915,28.7,M
2304180930,24.2,M
2304180945,18.7,M
2304181000,16.1,M
2304181015,21.0,M
2304181030,24.9,M
2304181045,18.4,M
2304181100,18.9,M
2304181115,13.8,M
2304181130,22.4,M
2304181145,9.3,G
2304181200,17.3,M
2304181215,22.8,M
2304181230,18.2,M
2304181245,24.9,M
2304181300,12.3,G
2304181315,17.0,M
2304181330,18.7,M
2304181345,22.4,M
2304181400,14.3,M
2304181415,23.7,M
2304181430,12.7,G
2304181445,14.1,M
2304181500,24.4,M
2304181515,18.9,M
2304181530,31.8,M
2304181545,16.6,M
2304181600,12.5,G
2304181615,21.9,M
2304181630,15.2,M
2304181645,23.9,M
2304181700,24.6,M
2304181715,12.7,G
2304181730,18.2,M
2304181745,24.2,M
2304181800,21.6,M
2304181815,13.6,M
2304181830,12.3,G
2304181845,37.2,UfSG
2304181900,13.4,M
2304181915,27.6,M
2304181930,15.7,M
2304181945,19.6,M
2304182000,18.4,M
2304182015,6.5,G
2304182030,28.1,M
2304182045,23.3,M
2304182100,19.6,M
2304182115,29.9,M
2304182130,16.4,M
2304182145,20.5,M
2304182200,13.8,M
